lbd;x;re;im
735;0.92322;-0.085325;0.95705
736;0.92369;-0.081228;0.95765
737;0.92414;-0.077149;0.95822
738;0.92458;-0.07309;0.95877
739;0.925;-0.069052;0.95929
740;0.92542;-0.065034;0.95978
741;0.92582;-0.061037;0.96026
742;0.92621;-0.057062;0.9607
743;0.92659;-0.053109;0.96113
744;0.92696;-0.049177;0.96153
745;0.92732;-0.045268;0.96191
746;0.92767;-0.041381;0.96227
747;0.92802;-0.037517;0.96261
748;0.92836;-0.033674;0.96292
749;0.92869;-0.029854;0.96322
750;0.92902;-0.026056;0.96351
751;0.92933;-0.022455;0.96375
752;0.92962;-0.018873;0.96399
753;0.92992;-0.01531;0.9642
754;0.93022;-0.011766;0.96441
755;0.93052;-0.0082391;0.9646
756;0.93081;-0.0047297;0.96477
757;0.93111;-0.0012373;0.96494
758;0.9314;0.0022386;0.96509
759;0.93169;0.0056983;0.96523
760;0.93198;0.0091423;0.96535
761;0.93227;0.012571;0.96546
762;0.93256;0.015984;0.96556
763;0.93284;0.019381;0.96564
764;0.93312;0.022764;0.96571
765;0.93339;0.026131;0.96577
766;0.93366;0.029483;0.96581
767;0.93392;0.03282;0.96584
768;0.93418;0.036141;0.96586
769;0.93444;0.039447;0.96586
770;0.93468;0.042737;0.96584
771;0.93492;0.046012;0.96582
772;0.93516;0.04927;0.96578
773;0.93538;0.052514;0.96573
774;0.93561;0.055741;0.96566
775;0.93582;0.058952;0.96558
776;0.93603;0.062147;0.96549
777;0.93623;0.065326;0.96538
778;0.93642;0.068489;0.96526
779;0.93661;0.071636;0.96513
780;0.93679;0.074766;0.96499
